t,d,48.932223,01.064800,12/30/2012,10:40:23,132.3186,0
t,d,48.933326,01.063273,12/30/2012,10:41:16,137.6058,1
t,d,48.933497,01.063590,12/30/2012,10:41:25,139.0479,0
t,d,48.933724,01.063062,12/30/2012,10:41:44,139.0479,0
t,d,48.935131,01.062112,12/30/2012,10:43:05,139.0479,1
t,d,48.935137,01.062167,12/30/2012,10:43:08,139.0479,0
t,d,48.935712,01.062081,12/30/2012,10:43:13,121.7441,0
t,d,48.935715,01.062343,12/30/2012,10:43:24,140.0092,0
t,d,48.935828,01.062936,12/30/2012,10:43:31,209.2241,0
t,d,48.936056,01.062773,12/30/2012,10:43:35,177.5006,0
t,d,48.936046,01.063072,12/30/2012,10:43:42,160.6775,0
t,d,48.936251,01.063489,12/30/2012,10:44:01,158.2742,0
t,d,48.939847,01.072402,12/30/2012,10:50:44,158.2742,1
t,d,48.940454,01.073307,12/30/2012,10:51:22,158.2742,0
t,d,48.940620,01.073339,12/30/2012,10:51:29,158.2742,0
t,d,48.941467,01.073251,12/30/2012,10:51:57,158.2742,0
t,d,48.941675,01.073009,12/30/2012,10:52:17,158.2742,0
t,d,48.942524,01.072336,12/30/2012,10:52:54,148.1804,0
t,d,48.942951,01.072054,12/30/2012,10:53:22,149.6223,0
t,d,48.943435,01.071895,12/30/2012,10:53:47,149.6223,0
t,d,48.943896,01.071700,12/30/2012,10:54:06,153.9484,0
t,d,48.943857,01.071656,12/30/2012,10:54:09,153.4677,0
t,d,48.943964,01.071563,12/30/2012,10:54:16,154.9095,0
t,d,48.944237,01.071510,12/30/2012,10:54:31,152.0258,0
t,d,48.944900,01.071125,12/30/2012,10:55:05,146.7384,0
t,d,48.945451,01.070830,12/30/2012,10:55:36,146.7384,0
t,d,48.951750,01.067001,12/30/2012,11:00:58,146.7384,1
t,d,48.951911,01.066779,12/30/2012,11:01:13,146.7384,0
t,d,48.955132,01.064009,12/30/2012,11:03:43,146.7384,1
t,d,48.955138,01.063727,12/30/2012,11:03:58,146.7384,0
t,d,48.955260,01.064452,12/30/2012,11:04:03,146.7384,0
t,d,48.957363,01.066194,12/30/2012,11:06:11,146.7384,1
t,d,48.957059,01.066384,12/30/2012,11:06:24,147.219,0
t,d,48.956591,01.067347,12/30/2012,11:06:55,152.0258,0
t,d,48.956162,01.068470,12/30/2012,11:07:26,153.4677,0
t,d,48.955825,01.069218,12/30/2012,11:07:49,153.4677,0
t,d,48.955564,01.070277,12/30/2012,11:08:19,151.0642,0
t,d,48.955479,01.071257,12/30/2012,11:08:46,149.6223,0
t,d,48.955470,01.071424,12/30/2012,11:08:59,148.661,0
t,d,48.955372,01.072319,12/30/2012,11:09:27,149.6223,0
t,d,48.955436,01.072959,12/30/2012,11:09:49,146.2578,0
t,d,48.955683,01.074407,12/30/2012,11:10:30,143.8544,0
